Date,Open,High,Low,Close,Adj_Close,Volume
15-Nov-24,310.57,324.68,309.22,320.72,320.72,"114,440,300"
14-Nov-24,327.69,329.98,310.37,311.18,311.18,"120,726,100"
13-Nov-24,335.85,344.6,322.5,330.24,330.24,"125,405,600"
12-Nov-24,342.74,345.84,323.31,328.49,328.49,"155,726,000"
11-Nov-24,346.3,358.64,336,350,350,"210,521,600"
8-Nov-24,299.14,328.71,297.66,321.22,321.22,"204,782,800"
7-Nov-24,288.89,299.75,285.52,296.91,296.91,"117,309,200"
6-Nov-24,284.67,289.59,275.62,288.53,288.53,"165,228,700"
5-Nov-24,247.34,255.28,246.21,251.44,251.44,"69,282,500"
4-Nov-24,244.56,248.9,238.88,242.84,242.84,"68,802,400"
1-Nov-24,252.04,254,246.63,248.98,248.98,"57,544,800"
31-Oct-24,257.99,259.75,249.25,249.85,249.85,"66,575,300"
30-Oct-24,258.04,263.35,255.82,257.55,257.55,"53,993,600"
29-Oct-24,264.51,264.98,255.51,259.52,259.52,"80,521,800"
28-Oct-24,270,273.54,262.24,262.51,262.51,"107,653,600"
25-Oct-24,256.01,269.49,255.32,269.19,269.19,"161,611,900"
24-Oct-24,244.68,262.12,242.65,260.48,260.48,"204,491,900"
23-Oct-24,217.13,218.72,212.11,213.65,213.65,"80,938,900"
22-Oct-24,217.31,218.22,215.26,217.97,217.97,"43,268,700"
21-Oct-24,218.9,220.48,215.73,218.85,218.85,"47,329,000"
18-Oct-24,220.71,222.28,219.23,220.7,220.7,"49,611,900"
17-Oct-24,221.59,222.08,217.9,220.89,220.89,"50,791,800"
16-Oct-24,221.4,222.82,218.93,221.33,221.33,"49,632,800"
15-Oct-24,220.01,224.26,217.12,219.57,219.57,"62,988,800"
14-Oct-24,220.13,221.91,213.74,219.16,219.16,"86,291,900"
11-Oct-24,220.13,223.34,214.38,217.8,217.8,"142,628,900"
10-Oct-24,241.81,242.79,232.34,238.77,238.77,"83,087,100"
9-Oct-24,243.82,247.43,239.51,241.05,241.05,"66,289,500"
8-Oct-24,243.56,246.21,240.56,244.5,244.5,"56,303,200"
7-Oct-24,249,249.83,240.7,240.83,240.83,"68,113,300"
4-Oct-24,246.69,250.96,244.58,250.08,250.08,"86,573,200"
3-Oct-24,244.48,249.79,237.81,240.66,240.66,"80,729,200"
2-Oct-24,247.55,251.16,241.5,249.02,249.02,"93,983,900"
1-Oct-24,262.67,263.98,248.53,258.02,258.02,"87,397,600"
30-Sep-24,259.04,264.86,255.77,261.63,261.63,"80,705,700"
27-Sep-24,257.38,260.7,254.12,260.46,260.46,"70,988,100"
26-Sep-24,260.6,261.75,251.53,254.22,254.22,"67,142,200"
25-Sep-24,252.54,257.05,252.28,257.02,257.02,"65,034,300"
24-Sep-24,254.08,257.19,249.05,254.27,254.27,"88,491,000"
23-Sep-24,242.61,250,241.92,250,250,"86,927,200"
20-Sep-24,241.52,243.99,235.92,238.25,238.25,"99,879,100"
19-Sep-24,234,244.24,232.13,243.92,243.92,"102,694,600"
18-Sep-24,230.09,235.68,226.88,227.2,227.2,"78,010,200"
17-Sep-24,229.45,234.57,226.55,227.87,227.87,"66,761,600"
16-Sep-24,229.3,229.96,223.53,226.78,226.78,"54,323,000"
13-Sep-24,228,232.67,226.32,230.29,230.29,"59,515,100"
12-Sep-24,224.66,231.45,223.83,229.81,229.81,"72,020,000"
11-Sep-24,224.55,228.47,216.8,228.13,228.13,"83,548,600"
10-Sep-24,220.07,226.4,218.64,226.17,226.17,"78,891,100"
9-Sep-24,216.2,219.87,213.67,216.27,216.27,"67,443,500"
6-Sep-24,232.6,233.6,210.51,210.73,210.73,"112,177,000"
5-Sep-24,223.49,235,222.25,230.17,230.17,"119,355,000"
4-Sep-24,210.59,222.22,210.57,219.41,219.41,"80,651,800"
3-Sep-24,215.26,219.9,209.64,210.6,210.6,"76,714,200"
30-Aug-24,208.63,214.57,207.03,214.11,214.11,"63,370,600"
29-Aug-24,209.8,214.89,205.97,206.28,206.28,"62,308,800"
28-Aug-24,209.72,211.84,202.59,205.75,205.75,"64,116,400"
27-Aug-24,213.25,215.66,206.94,209.21,209.21,"62,821,400"
26-Aug-24,218.75,219.09,211.01,213.21,213.21,"59,301,200"
23-Aug-24,214.46,221.48,214.21,220.32,220.32,"81,525,200"
22-Aug-24,223.82,224.8,210.32,210.66,210.66,"79,514,500"
21-Aug-24,222.67,224.66,218.86,223.27,223.27,"70,146,000"
20-Aug-24,224.88,228.22,219.56,221.1,221.1,"74,001,200"
19-Aug-24,217.07,222.98,214.09,222.72,222.72,"76,435,200"
16-Aug-24,211.15,219.8,210.8,216.12,216.12,"88,765,100"
15-Aug-24,205.02,215.88,204.82,214.14,214.14,"89,848,500"
14-Aug-24,207.39,208.44,198.75,201.38,201.38,"70,250,000"
13-Aug-24,198.47,208.49,197.06,207.83,207.83,"76,247,400"
12-Aug-24,199.02,199.26,194.67,197.49,197.49,"64,044,900"
9-Aug-24,197.05,200.88,195.11,200,200,"58,648,300"
8-Aug-24,195.7,200.7,192.04,198.84,198.84,"65,033,900"
7-Aug-24,200.77,203.49,191.48,191.76,191.76,"71,159,800"
6-Aug-24,200.75,202.9,192.67,200.64,200.64,"73,783,900"
